company_code,company_shortName,stock_code,stock_name,havein_mycomanpy_fund,hold_in_value_percent,stock_amount,stock_value
80000236,宝盈,	002475,立讯精密,11,1.76%,"1,401.12","53,466.90"
80000236,宝盈,	688111,金山办公,8,1.66%,224.41,"50,380.63"
80000236,宝盈,	000661,长春高新,14,1.59%,87.96,"48,200.98"
80000236,宝盈,	600745,闻泰科技,7,1.44%,429.78,"43,623.13"
80000236,宝盈,	600519,贵州茅台,15,1.21%,33.13,"36,802.65"
80000236,宝盈,	300699,光威复材,6,1.14%,698.95,"34,646.91"
80000236,宝盈,	000876,新 希 望,8,1.03%,991.41,"31,160.00"
80000236,宝盈,	002714,牧原股份,10,1.00%,249.51,"30,493.07"
80000236,宝盈,	001914,招商积余,12,0.97%,"1,254.51","29,593.78"
80000236,宝盈,	600872,中炬高新,6,0.89%,567.99,"27,149.92"
80365985,北信,	600048,保利地产,10,0.44%,399.91,"5,946.67"
80365985,北信,	600519,贵州茅台,7,0.37%,4.52,"5,021.72"
80365985,北信,	600276,恒瑞医药,7,0.34%,50.01,"4,602.42"
80365985,北信,	600036,招商银行,9,0.29%,122.14,"3,942.52"
80365985,北信,	000063,中兴通讯,8,0.17%,52.87,"2,262.84"
80365985,北信,	600031,三一重工,8,0.15%,119.12,"2,060.78"
80365985,北信,	600585,海螺水泥,7,0.13%,31.50,"1,735.65"
80365985,北信,	000739,普洛药业,3,0.12%,81.32,"1,613.41"
80365985,北信,	600030,中信证券,5,0.11%,68.50,"1,517.96"
80365985,北信,	000661,长春高新,2,0.11%,2.67,"1,461.84"
80000226,博时,	002078,太阳纸业,18,0.17%,"12,818.47","112,546.20"
80000226,博时,	600036,招商银行,13,0.16%,"3,377.07","109,011.72"
80000226,博时,	000708,中信特钢,19,0.15%,"3,952.55","99,248.49"
80000226,博时,	000063,中兴通讯,16,0.14%,"2,234.91","92,774.45"
80000226,博时,	002415,海康威视,4,0.13%,"3,113.89","86,877.46"
80000226,博时,	600167,联美控股,8,0.12%,"6,005.93","83,842.72"
80000226,博时,	601766,中国中车,5,0.12%,"12,248.92","80,352.92"
80000226,博时,	601088,中国神华,8,0.12%,"4,858.58","78,903.33"
80000226,博时,	600406,国电南瑞,4,0.11%,"3,800.37","75,057.37"
80000226,博时,	600426,华鲁恒升,18,0.11%,"4,769.78","74,885.48"
80000251,景顺长城,	600519,贵州茅台,16,1.49%,340.64,"378,450.48"
80000251,景顺长城,	000858,五 粮 液,18,1.12%,"2,468.78","284,403.49"
80000251,景顺长城,	000568,泸州老窖,9,0.81%,"2,784.10","205,049.22"
80000251,景顺长城,	002714,牧原股份,6,0.80%,"1,673.00","204,457.33"
80000251,景顺长城,	002311,海大集团,5,0.65%,"4,089.99","164,417.69"
80000251,景顺长城,	300498,温氏股份,13,0.62%,"4,887.93","157,880.26"
80000251,景顺长城,	600887,伊利股份,10,0.57%,"4,877.42","145,639.87"
80000251,景顺长城,	002352,顺丰控股,9,0.46%,"2,476.58","116,993.84"
80000251,景顺长城,	600276,恒瑞医药,20,0.42%,"1,174.44","108,083.63"
80000251,景顺长城,	603899,晨光文具,6,0.36%,"1,964.78","90,969.50"
80041198,天弘,	600036,招商银行,21,0.07%,"3,339.38","107,795.30"
80041198,天弘,	601318,中国平安,26,0.06%,"1,253.18","86,682.45"
80041198,天弘,	601166,兴业银行,9,0.05%,"4,746.66","75,519.34"
80041198,天弘,	600519,贵州茅台,22,0.04%,58.49,"64,985.50"
80041198,天弘,	601328,交通银行,7,0.03%,"7,739.21","39,934.33"
80041198,天弘,	600016,民生银行,4,0.03%,"6,876.67","39,265.76"
80041198,天弘,	601288,农业银行,6,0.02%,"10,655.82","35,910.11"
80041198,天弘,	600000,浦发银行,5,0.02%,"3,087.25","31,335.63"
80041198,天弘,	600030,中信证券,18,0.02%,"1,387.53","30,747.57"
80041198,天弘,	000001,平安银行,4,0.02%,"2,385.95","30,540.16"
80351991,鑫元,	600519,贵州茅台,8,0.05%,1.76,"1,955.36"
80351991,鑫元,	601816,京沪高铁,6,0.04%,265.05,"1,489.56"
80351991,鑫元,	601318,中国平安,4,0.03%,17.51,"1,211.12"
80351991,鑫元,	600276,恒瑞医药,8,0.03%,13.15,"1,210.19"
80351991,鑫元,	300750,宁德时代,4,0.03%,8.40,"1,011.28"
80351991,鑫元,	000651,格力电器,4,0.02%,14.05,733.43
80351991,鑫元,	300760,迈瑞医疗,6,0.02%,2.75,719.68
80351991,鑫元,	600036,招商银行,4,0.02%,20.93,675.62
80351991,鑫元,	002475,立讯精密,4,0.02%,16.40,625.82
80351991,鑫元,	600588,用友网络,4,0.02%,15.44,624.70
80036782,招商,	601658,邮储银行,26,0.55%,"43,439.59","221,618.40"
80036782,招商,	600519,贵州茅台,27,0.54%,193.13,"214,572.43"
80036782,招商,	000858,五 粮 液,15,0.45%,"1,571.41","181,026.22"
80036782,招商,	000568,泸州老窖,3,0.42%,"2,278.50","167,811.79"
80036782,招商,	002304,洋河股份,3,0.39%,"1,878.84","157,578.23"
80036782,招商,	000860,顺鑫农业,7,0.29%,"1,882.27","115,552.68"
80036782,招商,	600030,中信证券,13,0.26%,"4,673.05","103,554.82"
80036782,招商,	600809,山西汾酒,3,0.20%,900.68,"81,223.03"
80036782,招商,	601816,京沪高铁,1,0.19%,"13,048.60","74,251.74"
80036782,招商,	002714,牧原股份,21,0.17%,550.91,"67,327.10"
80560391,中庚,	603368,柳药股份,3,9.82%,"2,282.86","71,773.01"
80560391,中庚,	002217,合力泰,3,9.57%,"12,585.12","69,973.26"
80560391,中庚,	300233,金城医药,3,7.67%,"2,583.38","56,085.12"
80560391,中庚,	002541,鸿路钢构,3,4.18%,"2,040.75","30,570.42"
80560391,中庚,	603678,火炬电子,2,3.52%,"1,152.15","25,704.58"
80560391,中庚,	603599,广信股份,2,2.69%,"1,260.76","19,642.62"
80560391,中庚,	600483,福能股份,2,2.29%,"2,038.52","16,756.65"
80560391,中庚,	603507,振江股份,2,2.10%,623.63,"15,335.02"
80560391,中庚,	603839,安正时尚,2,2.04%,"1,170.87","14,928.62"
80560391,中庚,	603639,海利尔,2,1.78%,489.15,"12,991.94"
80403111,浙商资管,	300750,宁德时代,4,0.49%,24.19,"2,912.23"
80403111,浙商资管,	300760,迈瑞医疗,3,0.46%,10.47,"2,740.00"
80403111,浙商资管,	600276,恒瑞医药,4,0.42%,26.82,"2,467.87"
80403111,浙商资管,	600030,中信证券,2,0.28%,76.07,"1,685.71"
80403111,浙商资管,	600570,恒生电子,1,0.23%,15.49,"1,361.57"
80403111,浙商资管,	000333,美的集团,1,0.20%,24.84,"1,202.75"
80403111,浙商资管,	600585,海螺水泥,2,0.19%,20.32,"1,119.63"
80403111,浙商资管,	300601,康泰生物,1,0.19%,9.67,"1,108.18"
80403111,浙商资管,	600887,伊利股份,1,0.19%,36.86,"1,100.64"
80403111,浙商资管,	002475,立讯精密,1,0.18%,28.71,"1,095.57"
80508391,中航,	600519,贵州茅台,4,1.97%,1.70,"1,888.70"
80508391,中航,	601318,中国平安,4,1.67%,23.12,"1,599.19"
80508391,中航,	600276,恒瑞医药,4,1.53%,15.89,"1,462.51"
80508391,中航,	600036,招商银行,4,1.41%,41.68,"1,345.43"
80508391,中航,	000651,格力电器,2,1.08%,19.82,"1,034.55"
80508391,中航,	601012,隆基股份,2,0.85%,32.92,817.62
80508391,中航,	600585,海螺水泥,2,0.83%,14.37,791.79
80508391,中航,	002415,海康威视,2,0.78%,26.80,747.72
80508391,中航,	601088,中国神华,2,0.76%,44.67,725.44
80508391,中航,	600009,上海机场,2,0.65%,10.25,623.30
10000018,中信证券,	600519,贵州茅台,5,3.73%,57.29,"63,652.86"
10000018,中信证券,	600276,恒瑞医药,5,3.33%,617.79,"56,855.61"
10000018,中信证券,	002714,牧原股份,3,2.03%,283.87,"34,692.22"
10000018,中信证券,	600031,三一重工,3,1.89%,"1,859.59","32,170.99"
10000018,中信证券,	600529,山东药玻,3,1.78%,904.48,"30,372.60"
10000018,中信证券,	000661,长春高新,3,1.64%,50.99,"27,941.53"
10000018,中信证券,	300413,芒果超媒,3,1.43%,559.05,"24,369.19"
10000018,中信证券,	601799,星宇股份,3,1.25%,254.74,"21,337.22"
10000018,中信证券,	603658,安图生物,3,1.24%,181.43,"21,134.80"
10000018,中信证券,	603338,浙江鼎力,3,1.18%,350.61,"20,124.77"
80455765,中科沃土,	601816,京沪高铁,1,1.41%,99.51,564.35
80455765,中科沃土,	600519,贵州茅台,1,1.17%,0.42,466.51
80455765,中科沃土,	600036,招商银行,1,1.08%,13.42,433.26
80455765,中科沃土,	600276,恒瑞医药,1,1.02%,4.44,408.28
80455765,中科沃土,	601318,中国平安,1,0.94%,5.46,377.95
80455765,中科沃土,	600585,海螺水泥,1,0.92%,6.71,369.76
80455765,中科沃土,	600031,三一重工,1,0.86%,19.90,344.25
80455765,中科沃土,	601166,兴业银行,1,0.73%,18.29,291.07
80455765,中科沃土,	000547,航天发展,3,0.68%,20.25,272.35
80455765,中科沃土,	601658,邮储银行,1,0.67%,51.13,269.46
80381452,中泰资管,	600153,建发股份,3,3.05%,569.87,"4,359.50"
80381452,中泰资管,	600426,华鲁恒升,2,3.00%,273.62,"4,295.88"
80381452,中泰资管,	600585,海螺水泥,3,2.66%,68.95,"3,798.90"
80381452,中泰资管,	002078,太阳纸业,2,2.60%,423.74,"3,720.44"
80381452,中泰资管,	600176,中国巨石,3,2.55%,462.04,"3,650.12"
80381452,中泰资管,	601088,中国神华,2,2.32%,203.89,"3,311.17"
80381452,中泰资管,	603589,口子窖,2,2.17%,74.95,"3,099.74"
80381452,中泰资管,	000501,鄂武商Ａ,2,2.08%,258.87,"2,971.83"
80381452,中泰资管,	601111,中国国航,2,1.58%,346.26,"2,254.16"
80381452,中泰资管,	600486,扬农化工,1,1.01%,21.49,"1,448.64"
80365986,中金,	600031,三一重工,7,0.26%,463.54,"8,019.30"
80365986,中金,	000333,美的集团,4,0.25%,159.76,"7,735.48"
80365986,中金,	600519,贵州茅台,17,0.24%,6.76,"7,507.03"
80365986,中金,	000651,格力电器,7,0.23%,133.53,"6,970.31"
80365986,中金,	688111,金山办公,1,0.21%,37.84,"6,552.00"
80365986,中金,	002415,海康威视,3,0.21%,229.43,"6,400.96"
80365986,中金,	002607,中公教育,2,0.20%,271.43,"6,180.55"
80365986,中金,	600216,浙江医药,3,0.18%,302.64,"5,674.56"
80365986,中金,	002624,完美世界,1,0.16%,106.61,"5,069.27"
80365986,中金,	300271,华宇软件,1,0.16%,190.14,"4,905.73"
80000200,中银国际,	002602,世纪华通,7,0.03%,219.86,"2,715.31"
80000200,中银国际,	000063,中兴通讯,3,0.02%,56.16,"2,403.65"
80000200,中银国际,	300088,长信科技,3,0.02%,208.26,"1,774.38"
80000200,中银国际,	300229,拓尔思,3,0.01%,90.05,"1,498.43"
80000200,中银国际,	300136,信维通信,3,0.01%,37.52,"1,287.77"
80000200,中银国际,	002624,完美世界,3,0.01%,24.29,"1,154.99"
80000200,中银国际,	002065,东华软件,3,0.01%,81.11,"1,047.94"
80000200,中银国际,	000725,京东方Ａ,3,0.01%,269.39,999.44
80000200,中银国际,	002241,歌尔股份,3,0.01%,59.11,969.94
80000200,中银国际,	300073,当升科技,4,0.01%,28.68,628.67
80355113,中信建投,	002384,东山精密,6,0.43%,386.99,"7,975.86"
80355113,中信建投,	300433,蓝思科技,6,0.42%,535.84,"7,801.87"
80355113,中信建投,	000063,中兴通讯,2,0.37%,160.00,"6,848.00"
80355113,中信建投,	300014,亿纬锂能,2,0.34%,110.00,"6,392.10"
80355113,中信建投,	000547,航天发展,6,0.21%,294.40,"3,959.68"
80355113,中信建投,	300750,宁德时代,2,0.19%,30.00,"3,611.70"
80355113,中信建投,	300379,东方通,2,0.18%,89.99,"3,383.70"
80355113,中信建投,	600760,中航沈飞,6,0.17%,112.86,"3,231.31"
80355113,中信建投,	002241,歌尔股份,6,0.16%,186.00,"3,052.26"
80355113,中信建投,	300294,博雅生物,6,0.16%,94.36,"2,971.40"
80048752,中银,	300014,亿纬锂能,25,0.20%,"1,522.65","79,052.91"
80048752,中银,	600519,贵州茅台,34,0.14%,50.29,"55,873.41"
80048752,中银,	603233,大参林,30,0.07%,429.98,"27,089.00"
80048752,中银,	600276,恒瑞医药,25,0.07%,294.05,"27,061.83"
80048752,中银,	002624,完美世界,9,0.07%,538.91,"25,625.10"
80048752,中银,	002555,三七互娱,13,0.07%,784.48,"25,621.08"
80048752,中银,	600233,圆通速递,2,0.06%,"2,061.65","23,853.28"
80048752,中银,	601318,中国平安,26,0.06%,336.55,"23,279.41"
80048752,中银,	002475,立讯精密,14,0.05%,551.60,"21,049.11"
80048752,中银,	000002,万  科Ａ,13,0.05%,724.75,"18,589.83"
80351345,中加,	600233,圆通速递,2,0.01%,88.70,"1,026.20"
80351345,中加,	601658,邮储银行,3,0.01%,179.60,932.17
80351345,中加,	601633,长城汽车,5,0.01%,98.88,879.08
80351345,中加,	601328,交通银行,3,0.01%,167.06,862.03
80351345,中加,	601816,京沪高铁,2,0.01%,100.65,571.47
80351345,中加,	600030,中信证券,2,0.00%,24.45,541.74
80351345,中加,	300232,洲明科技,3,0.00%,60.54,540.58
80351345,中加,	601688,华泰证券,2,0.00%,30.77,530.17
80351345,中加,	601988,中国银行,2,0.00%,138.50,481.98
80351345,中加,	601006,大秦铁路,2,0.00%,63.39,431.05
80075936,中邮,	000002,万  科Ａ,13,2.40%,"3,448.12","88,444.38"
80075936,中邮,	600201,生物股份,9,1.87%,"3,227.20","68,803.99"
80075936,中邮,	600519,贵州茅台,6,1.12%,37.21,"41,336.64"
80075936,中邮,	000063,中兴通讯,9,1.08%,927.99,"39,717.93"
80075936,中邮,	600048,保利地产,10,1.02%,"2,518.89","37,455.92"
80075936,中邮,	300747,锐科激光,7,0.91%,430.35,"33,481.09"
80075936,中邮,	603019,中科曙光,10,0.77%,651.40,"28,446.55"
80075936,中邮,	000671,阳 光 城,7,0.77%,"4,030.76","28,174.99"
80075936,中邮,	002078,太阳纸业,1,0.58%,"2,440.62","21,428.63"
80075936,中邮,	000977,浪潮信息,6,0.58%,550.64,"21,353.69"
80341238,中融,	601088,中国神华,3,0.07%,444.39,"7,216.85"
80341238,中融,	601225,陕西煤业,3,0.06%,900.62,"6,736.62"
80341238,中融,	600984,建设机械,12,0.06%,482.30,"5,975.75"
80341238,中融,	600019,宝钢股份,6,0.05%,"1,144.93","5,575.79"
80341238,中融,	002695,煌上煌,5,0.04%,207.96,"4,591.81"
80341238,中融,	600157,永泰能源,3,0.04%,"3,464.42","4,503.74"
80341238,中融,	600036,招商银行,11,0.04%,126.94,"4,097.73"
80341238,中融,	600519,贵州茅台,14,0.04%,3.53,"3,920.05"
80341238,中融,	601318,中国平安,14,0.04%,56.11,"3,880.81"
80341238,中融,	000723,美锦能源,3,0.04%,571.45,"3,760.16"
80066470,中信保诚,	300003,乐普医疗,9,0.34%,868.79,"31,467.56"
80066470,中信保诚,	600519,贵州茅台,28,0.33%,28.11,"31,228.21"
80066470,中信保诚,	000063,中兴通讯,18,0.31%,686.06,"29,363.35"
80066470,中信保诚,	002001,新 和 成,5,0.24%,816.22,"22,282.81"
80066470,中信保诚,	600036,招商银行,27,0.22%,648.22,"20,924.63"
80066470,中信保诚,	000002,万  科Ａ,6,0.20%,724.73,"18,589.26"
80066470,中信保诚,	601318,中国平安,21,0.18%,248.54,"17,191.17"
80066470,中信保诚,	601668,中国建筑,1,0.18%,"3,136.60","16,529.87"
80066470,中信保诚,	601186,中国铁建,1,0.18%,"1,677.34","16,488.25"
80066470,中信保诚,	601390,中国中铁,1,0.17%,"2,877.97","15,483.46"
80156777,浙商,	00700,腾讯控股,2,0.67%,47.70,"16,570.50"
80156777,浙商,	03690,美团点评-W,3,0.44%,126.10,"10,790.38"
80156777,浙商,	00813,世茂房地产,2,0.37%,365.25,"9,109.34"
80156777,浙商,	02689,玖龙纸业,4,0.36%,"1,356.30","8,761.70"
80156777,浙商,	01918,融创中国,2,0.34%,257.80,"8,455.84"
80156777,浙商,	00788,中国铁塔,2,0.30%,"4,600.00","7,314.00"
80156777,浙商,	02359,药明康德,2,0.25%,70.90,"6,180.35"
80156777,浙商,	000625,长安汽车,7,0.25%,579.36,"6,129.68"
80156777,浙商,	02238,广汽集团,4,0.23%,778.20,"5,540.78"
80156777,浙商,	02313,申洲国际,2,0.23%,73.50,"5,533.82"
80065113,中欧,	603160,汇顶科技,17,0.83%,868.49,"221,329.51"
80065113,中欧,	600519,贵州茅台,34,0.77%,185.28,"205,849.08"
80065113,中欧,	300413,芒果超媒,27,0.67%,"4,112.48","179,263.07"
80065113,中欧,	601899,紫金矿业,22,0.61%,"44,195.92","163,082.93"
80065113,中欧,	000063,中兴通讯,20,0.61%,"3,891.52","161,488.35"
80065113,中欧,	000002,万  科Ａ,25,0.47%,"4,869.11","124,892.59"
80065113,中欧,	300454,深信服,9,0.38%,657.90,"101,407.85"
80065113,中欧,	600406,国电南瑞,14,0.38%,"5,080.50","100,339.88"
80065113,中欧,	002475,立讯精密,17,0.37%,"2,579.00","98,414.65"
80065113,中欧,	600887,伊利股份,15,0.36%,"3,199.69","95,542.70"
80560407,朱雀,	00700,腾讯控股,4,9.73%,42.64,"14,812.66"
80560407,朱雀,	002352,顺丰控股,4,7.77%,250.17,"11,818.12"
80560407,朱雀,	601012,隆基股份,4,6.72%,411.80,"10,229.06"
80560407,朱雀,	600570,恒生电子,4,5.45%,94.40,"8,297.67"
80560407,朱雀,	300498,温氏股份,4,4.66%,219.49,"7,089.53"
80560407,朱雀,	06886,HTSC,4,4.66%,673.18,"7,085.77"
80560407,朱雀,	600893,航发动力,4,4.47%,320.96,"6,804.33"
80560407,朱雀,	601318,中国平安,4,4.20%,92.29,"6,383.80"
80560407,朱雀,	00175,吉利汽车,4,4.19%,609.90,"6,375.12"
80560407,朱雀,	601225,陕西煤业,2,3.07%,625.26,"4,676.98"
80046614,中海,	603883,老百姓,3,1.88%,251.00,"19,552.90"
80046614,中海,	603259,药明康德,7,1.88%,216.02,"19,547.47"
80046614,中海,	002044,美年健康,3,1.80%,"1,590.00","18,777.90"
80046614,中海,	300760,迈瑞医疗,6,1.60%,63.57,"16,636.50"
80046614,中海,	300750,宁德时代,8,1.55%,134.03,"16,135.97"
80046614,中海,	600763,通策医疗,5,1.47%,142.15,"15,320.93"
80046614,中海,	300572,安车检测,3,1.36%,365.00,"14,191.20"
80046614,中海,	600276,恒瑞医药,10,1.22%,137.73,"12,675.52"
80046614,中海,	300326,凯利泰,4,1.18%,598.34,"12,289.90"
80046614,中海,	688139,海尔生物,3,1.09%,368.00,"11,341.76"
80000237,银河,	600570,恒生电子,13,0.81%,865.10,"76,042.69"
80000237,银河,	603019,中科曙光,8,0.77%,"1,644.64","71,821.47"
80000237,银河,	002156,通富微电,2,0.54%,"2,700.36","50,766.75"
80000237,银河,	603005,晶方科技,3,0.54%,561.18,"50,540.01"
80000237,银河,	002241,歌尔股份,5,0.52%,"2,984.09","48,968.92"
80000237,银河,	600703,三安光电,2,0.47%,"2,315.90","44,349.49"
80000237,银河,	600584,长电科技,1,0.45%,"2,158.04","42,448.67"
80000237,银河,	000063,中兴通讯,8,0.45%,977.27,"41,827.28"
80000237,银河,	300115,长盈精密,2,0.44%,"2,159.98","40,737.30"
80000237,银河,	002475,立讯精密,21,0.42%,"1,023.48","39,056.11"
80356155,永赢,	600030,中信证券,10,0.24%,"1,937.56","42,936.25"
80356155,永赢,	300059,东方财富,10,0.22%,"2,481.63","39,830.10"
80356155,永赢,	601688,华泰证券,6,0.20%,"2,105.26","36,273.57"
80356155,永赢,	600036,招商银行,10,0.15%,845.12,"27,280.57"
80356155,永赢,	000333,美的集团,10,0.15%,534.26,"25,868.69"
80356155,永赢,	000002,万  科Ａ,8,0.14%,986.10,"25,293.40"
80356155,永赢,	600048,保利地产,8,0.14%,"1,664.41","24,749.78"
80356155,永赢,	300450,先导智能,5,0.13%,628.32,"23,536.95"
