company_code,company_shortName,fund_type,fund_scale,fund_scale_mean,fund_scale_rank,fund_amount,fund_amount_mean,fund_amount_rank,fund_manager_amount,fund_manager_amount_mean,fund_manager_amount_rank
80548351,格林,,-,-,-/-,-,-,-/-,-,-,-/-
80560389,国融,,-,-,-/-,-,-,-/-,-,-,-/-
80560389,国融,混合型,1.17,360.46,145/158,12,34.22,94/158,3,11.59,113/158
80000233,国投瑞银,混合型,288.52,360.46,42/158,49,34.22,34/158,21,11.59,25/158
80000233,国投瑞银,股票型,25.29,165.01,51/115,11,17.48,44/115,4,5.72,42/115
80280039,国开泰富,混合型,0.22,360.46,155/158,2,34.22,145/158,2,11.59,129/158
80280039,国开泰富,,-,-,-/-,-,-,-/-,-,-,-/-
80043374,国联安,混合型,133.39,360.46,62/158,39,34.22,51/158,17,11.59,37/158
80043374,国联安,股票型,143.27,165.01,25/115,16,17.48,31/115,4,5.72,42/115
80102419,国金,混合型,27.88,360.46,101/158,12,34.22,94/158,4,11.59,104/158
80102419,国金,股票型,0.52,165.01,109/115,4,17.48,77/115,2,5.72,76/115
80000095,国都,,-,-,-/-,-,-,-/-,-,-,-/-
80000095,国都,混合型,3.18,360.46,137/158,4,34.22,136/158,3,11.59,113/158
80044515,国海,混合型,244.33,360.46,46/158,25,34.22,72/158,11,11.59,64/158
80044515,国海,股票型,174.20,165.01,22/115,5,17.48,73/115,4,5.72,42/115
80000248,广发,混合型,"3,178.95",360.46,3/158,177,34.22,2/158,47,11.59,2/158
80000248,广发,股票型,"1,182.90",165.01,3/115,95,17.48,1/115,19,5.72,7/115
80357951,广发资产管理,混合型,27.76,360.46,102/158,5,34.22,132/158,3,11.59,113/158
80357951,广发资产管理,,-,-,-/-,-,-,-/-,-,-,-/-
