company_code,company_shortName,fund_type,fund_scale,fund_scale_mean,fund_scale_rank,fund_amount,fund_amount_mean,fund_amount_rank,fund_manager_amount,fund_manager_amount_mean,fund_manager_amount_rank
80000236,宝盈,混合型,183.56,168.22,35/146,33,25.96,43/146,11,10.63,51/146
80000236,宝盈,股票型,22.01,115.22,49/112,10,14.41,39/112,5,4.95,26/112
80365985,北信,混合型,15.84,168.22,92/146,12,25.96,86/146,7,10.63,73/146
80365985,北信,股票型,0.36,115.22,102/112,1,14.41,103/112,1,4.95,83/112
80068180,诺德,混合型,33.58,168.22,75/146,22,25.96,58/146,13,10.63,43/146
80068180,诺德,股票型,5.88,115.22,73/112,2,14.41,85/112,2,4.95,64/112
80145102,上海东方,混合型,956.01,168.22,7/146,40,25.96,32/146,17,10.63,27/146
80145102,上海东方,股票型,20.52,115.22,52/112,2,14.41,85/112,3,4.95,47/112
80184574,上海海通证券资产管理,,-,-,-/-,-,-,-/-,-,-,-/-
80184574,上海海通证券资产管理,混合型,-,168.22,144/146,3,25.96,129/146,-,10.63,144/146
80374411,兴证资管,,-,-,-/-,-,-,-/-,-,-,-/-
80374411,兴证资管,混合型,-,168.22,144/146,2,25.96,134/146,-,10.63,144/146
80065113,中欧,混合型,746.10,168.22,11/146,87,25.96,7/146,25,10.63,13/146
80065113,中欧,股票型,186.54,115.22,19/112,12,14.41,34/112,5,4.95,26/112
80000200,中银国际,混合型,13.64,168.22,94/146,11,25.96,89/146,6,10.63,76/146
80351345,中加,,-,-,-/-,-,-,-/-,-,-,-/-
10000018,中信证券,混合型,161.34,168.22,39/146,5,25.96,111/146,2,10.63,119/146
10000018,中信证券,,-,-,-/-,-,-,-/-,-,-,-/-
80036782,招商,股票型,335.91,115.22,12/112,50,14.41,10/112,12,4.95,13/112
80036782,招商,混合型,456.20,168.22,16/146,83,25.96,8/146,30,10.63,11/146
80560391,中庚,股票型,28.70,115.22,45/112,1,14.41,103/112,1,4.95,83/112
80560391,中庚,混合型,44.40,168.22,69/146,2,25.96,134/146,1,10.63,133/146
80403111,浙商资管,混合型,6.47,168.22,111/146,5,25.96,111/146,2,10.63,119/146
80403111,浙商资管,股票型,1.52,115.22,90/112,4,14.41,71/112,4,4.95,35/112
80508391,中航,混合型,2.31,168.22,126/146,6,25.96,105/146,2,10.63,119/146
80508391,中航,,-,-,-/-,-,-,-/-,-,-,-/-
80455765,中科沃土,混合型,1.70,168.22,128/146,6,25.96,105/146,5,10.63,85/146
80455765,中科沃土,,-,-,-/-,-,-,-/-,-,-,-/-
80381452,中泰资管,混合型,6.88,168.22,110/146,3,25.96,129/146,2,10.63,119/146
80381452,中泰资管,股票型,6.73,115.22,67/112,4,14.41,71/112,1,4.95,83/112
80365986,中金,混合型,24.25,168.22,81/146,16,25.96,75/146,9,10.63,61/146
80365986,中金,股票型,8.40,115.22,61/112,19,14.41,24/112,4,4.95,35/112
80000200,中银国际,股票型,-,115.22,110/112,3,14.41,79/112,-,4.95,110/112
80355113,中信建投,混合型,24.28,168.22,80/146,20,25.96,62/146,5,10.63,85/146
80355113,中信建投,股票型,0.24,115.22,104/112,3,14.41,79/112,2,4.95,64/112
80048752,中银,混合型,211.94,168.22,29/146,68,25.96,13/146,17,10.63,27/146
80048752,中银,股票型,38.13,115.22,40/112,8,14.41,47/112,5,4.95,26/112
80351345,中加,混合型,24.45,168.22,79/146,15,25.96,79/146,6,10.63,76/146
80075936,中邮,混合型,204.48,168.22,33/146,31,25.96,48/146,16,10.63,32/146
80075936,中邮,股票型,0.87,115.22,97/112,4,14.41,71/112,2,4.95,64/112
80341238,中融,混合型,18.42,168.22,90/146,32,25.96,46/146,13,10.63,43/146
80341238,中融,股票型,18.59,115.22,53/112,15,14.41,28/112,3,4.95,47/112
80066470,中信保诚,混合型,146.18,168.22,45/146,42,25.96,29/146,15,10.63,37/146
80066470,中信保诚,股票型,38.45,115.22,39/112,10,14.41,39/112,3,4.95,47/112
80156777,浙商,股票型,6.33,115.22,70/112,5,14.41,62/112,3,4.95,47/112
80156777,浙商,混合型,38.35,168.22,74/146,8,25.96,100/146,5,10.63,85/146
80560407,朱雀,混合型,15.22,168.22,93/146,4,25.96,118/146,3,10.63,104/146
80560407,朱雀,股票型,-,115.22,110/112,2,14.41,85/112,-,4.95,110/112
80046614,中海,混合型,62.05,168.22,62/146,21,25.96,59/146,9,10.63,61/146
80000237,银河,混合型,207.36,168.22,32/146,59,25.96,19/146,19,10.63,24/146
80046614,中海,股票型,15.92,115.22,54/112,2,14.41,85/112,2,4.95,64/112
80356155,永赢,混合型,154.10,168.22,41/146,14,25.96,81/146,6,10.63,76/146
80356155,永赢,股票型,6.62,115.22,69/112,7,14.41,52/112,4,4.95,35/112
80000237,银河,股票型,28.95,115.22,44/112,7,14.41,52/112,4,4.95,35/112
