marketType,date_time,rank,code,name,close,changePercent,net_in,in,out,total
1,2018-01-03,1,	601318,中国平安,70.97,-2.2317,6.9,8.01,1.11,9.12
1,2018-01-03,2,	600519,贵州茅台,715.86,1.7063,1.99,4.4,2.41,6.8
1,2018-01-03,3,	600276,恒瑞医药,68.83,0.233,-0.84,1.52,2.36,3.88
1,2018-01-03,4,	600887,伊利股份,32.61,2.0657,0.62,1.67,1.05,2.72
1,2018-01-03,5,	600048,保利地产,14.44,-1.2312,0.63,1.42,0.79,2.22
1,2018-01-03,6,	600030,中信证券,18.61,0.9219,0.87,1.52,0.66,2.18
1,2018-01-03,7,	600900,长江电力,15.99,2.2378,0.35,1.2,0.86,2.06
1,2018-01-03,8,	600036,招商银行,29.97,1.1816,0.98,1.51,0.52,2.03
1,2018-01-03,9,	600547,山东黄金,31.63,0.2218,1.17,1.4,0.23,1.64
1,2018-01-03,10,	600585,海螺水泥,31.68,-0.8761,-0.3,0.65,0.95,1.61
3,2018-01-03,1,	000651,格力电器,45.65,1.1074,4.36,6.3,1.93,8.23
3,2018-01-03,2,	002415,海康威视,39.64,1.3033,0.95,2.32,1.37,3.68
3,2018-01-03,3,	000858,五粮液,80.9,0.3971,1.01,2.2,1.19,3.38
3,2018-01-03,4,	000002,万科A,32.33,-0.7064,0.71,1.79,1.07,2.86
3,2018-01-03,5,	000725,京东方A,5.77,0.6981,0.3,1.57,1.27,2.85
3,2018-01-03,6,	000333,美的集团,55.8,-1.0287,0.6,1.59,0.98,2.57
3,2018-01-03,7,	002027,分众传媒,13.79,-2.0597,1.71,1.93,0.22,2.15
3,2018-01-03,8,	002475,立讯精密,23.98,4.0347,0.91,1.37,0.46,1.83
3,2018-01-03,9,	000001,平安银行,13.33,-2.7007,0.53,1.13,0.6,1.72
3,2018-01-03,10,	002008,大族激光,51.55,2.8326,0.37,1.01,0.64,1.64
1,2018-01-02,1,	601318,中国平安,72.59,3.7296,2.85,4.09,1.23,5.32
1,2018-01-02,2,	600519,贵州茅台,703.85,0.9118,0.9,2.79,1.89,4.68
1,2018-01-02,3,	600036,招商银行,29.62,2.0675,0.83,1.46,0.63,2.08
1,2018-01-02,4,	601939,建设银行,7.79,1.4323,1.06,1.56,0.5,2.05
1,2018-01-02,5,	600887,伊利股份,31.95,-0.7456,0.44,1.2,0.75,1.95
1,2018-01-02,6,	600048,保利地产,14.62,3.3216,0.25,1.07,0.82,1.9
1,2018-01-02,7,	601398,工商银行,6.18,-0.3226,0.5,1.15,0.65,1.8
1,2018-01-02,8,	600019,宝钢股份,8.96,3.7037,0.19,0.99,0.79,1.78
1,2018-01-02,9,	600585,海螺水泥,31.96,8.9669,-0.55,0.58,1.14,1.72
1,2018-01-02,10,	601766,中国中车,12.75,5.2849,0.31,1.01,0.7,1.72
3,2018-01-02,1,	000333,美的集团,56.38,1.7139,2.43,3.19,0.77,3.96
3,2018-01-02,2,	002050,三花智控,19.57,6.7066,3.25,3.46,0.21,3.67
3,2018-01-02,3,	000858,五粮液,80.58,0.8763,0.78,1.74,0.96,2.7
3,2018-01-02,4,	000001,平安银行,13.7,3.0075,-0.03,1.29,1.32,2.61
3,2018-01-02,5,	000651,格力电器,45.15,3.3181,1.04,1.74,0.7,2.44
3,2018-01-02,6,	000725,京东方A,5.73,-1.0363,0.09,1.17,1.08,2.25
3,2018-01-02,7,	000568,泸州老窖,65.78,-0.3333,1.72,1.9,0.18,2.09
3,2018-01-02,8,	000002,万科A,32.56,4.8294,0.62,1.33,0.72,2.05
3,2018-01-02,9,	002415,海康威视,39.13,0.3333,0.6,1.11,0.51,1.63
3,2018-01-02,10,	002027,分众传媒,14.08,0.0,0.26,0.74,0.49,1.23
1,2018-01-04,1,	600887,伊利股份,33.42,2.4839,6.69,9.27,2.58,11.85
1,2018-01-04,2,	600519,贵州茅台,737.07,2.9629,0.65,4.91,4.26,9.17
1,2018-01-04,3,	601318,中国平安,71.18,0.2959,5.91,6.92,1.02,7.94
1,2018-01-04,4,	600276,恒瑞医药,70.57,2.528,2.12,2.34,0.22,2.56
1,2018-01-04,5,	600779,水井坊,47.96,3.5853,1.99,2.04,0.05,2.09
1,2018-01-04,6,	600585,海螺水泥,32.1,1.3258,-0.12,0.96,1.07,2.03
1,2018-01-04,7,	600028,中国石化,6.9,6.6461,-0.19,0.86,1.05,1.9
1,2018-01-04,8,	601601,中国太保,39.78,-2.1643,0.39,1.12,0.73,1.85
1,2018-01-04,9,	600048,保利地产,14.51,0.4848,0.42,1.06,0.63,1.69
1,2018-01-04,10,	600036,招商银行,29.65,-1.0677,0.99,1.25,0.26,1.5
3,2018-01-04,1,	000333,美的集团,57.29,2.6703,3.91,5.58,1.67,7.26
3,2018-01-04,2,	000651,格力电器,46.58,2.0372,4.73,5.18,0.45,5.62
3,2018-01-04,3,	002415,海康威视,40.5,2.1695,2.66,3.26,0.61,3.87
3,2018-01-04,4,	000858,五粮液,82.99,2.5834,0.08,1.89,1.82,3.71
3,2018-01-04,5,	000002,万科A,33.12,2.4435,0.43,1.12,0.69,1.81
3,2018-01-04,6,	000568,泸州老窖,68.75,3.5392,0.89,1.25,0.36,1.61
3,2018-01-04,7,	000725,京东方A,5.72,-0.8666,-0.03,0.75,0.78,1.53
3,2018-01-04,8,	002508,老板电器,49.19,-0.7265,-1.01,0.25,1.26,1.5
3,2018-01-04,9,	000001,平安银行,13.25,-0.6001,0.35,0.88,0.53,1.42
3,2018-01-04,10,	002304,洋河股份,121.0,4.9892,0.04,0.66,0.62,1.28
1,2018-01-09,1,	600519,贵州茅台,782.52,4.0405,1.45,6.14,4.69,10.84
1,2018-01-09,2,	601318,中国平安,71.87,2.6568,1.7,3.73,2.03,5.76
1,2018-01-09,3,	600887,伊利股份,34.59,3.0691,1.81,2.67,0.86,3.52
1,2018-01-09,4,	601006,大秦铁路,9.86,0.9212,2.59,2.79,0.2,3.0
1,2018-01-09,5,	600009,上海机场,43.76,1.6965,0.8,1.57,0.77,2.34
1,2018-01-09,6,	600276,恒瑞医药,74.7,4.8274,0.21,1.22,1.0,2.22
1,2018-01-09,7,	600048,保利地产,15.7,0.5122,0.42,1.22,0.81,2.03
1,2018-01-09,8,	601888,中国国旅,46.64,0.3658,0.29,0.85,0.56,1.41
1,2018-01-09,9,	600019,宝钢股份,9.1,-2.0452,-0.11,0.64,0.75,1.4
1,2018-01-09,10,	600030,中信证券,19.44,-0.5118,0.18,0.74,0.56,1.3
3,2018-01-09,1,	000333,美的集团,59.48,3.1564,3.89,5.03,1.14,6.17
3,2018-01-09,2,	000858,五粮液,86.1,4.7445,1.27,2.79,1.52,4.31
3,2018-01-09,3,	002415,海康威视,40.9,0.2451,2.05,2.89,0.84,3.73
3,2018-01-09,4,	000725,京东方A,6.01,7.7061,0.13,1.78,1.65,3.43
3,2018-01-09,5,	000651,格力电器,49.4,3.2825,1.38,2.15,0.77,2.91
3,2018-01-09,6,	000002,万科A,35.84,-0.4168,0.76,1.59,0.82,2.41
3,2018-01-09,7,	002008,大族激光,53.45,6.0937,1.17,1.75,0.57,2.32
3,2018-01-09,8,	002304,洋河股份,131.15,3.8236,-0.4,0.77,1.16,1.93
3,2018-01-09,9,	000418,小天鹅A,72.0,9.3394,1.37,1.55,0.18,1.74
3,2018-01-09,10,	000001,平安银行,13.08,0.9259,-0.17,0.5,0.67,1.17
1,2018-01-05,1,	600519,贵州茅台,738.36,0.175,-1.48,2.02,3.49,5.51
1,2018-01-05,2,	601318,中国平安,70.89,-0.4074,0.5,2.73,2.23,4.96
1,2018-01-05,3,	600048,保利地产,15.29,5.3756,-0.05,1.25,1.3,2.55
1,2018-01-05,4,	600585,海螺水泥,32.65,1.7134,-1.11,0.71,1.82,2.53
1,2018-01-05,5,	600887,伊利股份,33.43,0.0299,0.76,1.57,0.81,2.38
1,2018-01-05,6,	600104,上汽集团,31.92,0.9169,2.07,2.21,0.15,2.36
1,2018-01-05,7,	600028,中国石化,7.06,2.3188,-0.37,0.84,1.2,2.04
1,2018-01-05,8,	600690,青岛海尔,18.98,-0.3151,1.41,1.59,0.18,1.76
1,2018-01-05,9,	600276,恒瑞医药,70.32,-0.3543,0.46,1.05,0.58,1.63
1,2018-01-05,10,	600660,福耀玻璃,29.36,-0.8778,-0.29,0.63,0.92,1.55
3,2018-01-05,1,	000651,格力电器,47.88,2.7909,8.93,9.42,0.49,9.91
3,2018-01-05,2,	002415,海康威视,39.78,-1.7778,2.96,3.81,0.85,4.66
3,2018-01-05,3,	000333,美的集团,57.96,1.1695,0.02,2.28,2.27,4.55
3,2018-01-05,4,	000002,万科A,34.76,4.9517,0.13,1.44,1.31,2.75
3,2018-01-05,5,	000725,京东方A,5.58,-2.4476,-0.97,0.77,1.74,2.5
3,2018-01-05,6,	000001,平安银行,13.3,0.3774,0.5,1.25,0.74,1.99
3,2018-01-05,7,	000858,五粮液,82.68,-0.3735,-0.15,0.8,0.95,1.76
3,2018-01-05,8,	300015,爱尔眼科,31.5,6.1678,1.53,1.6,0.06,1.66
3,2018-01-05,9,	002008,大族激光,51.55,0.0777,0.28,0.87,0.59,1.46
3,2018-01-05,10,	000568,泸州老窖,68.05,-1.0182,0.89,1.07,0.18,1.25
