full_name,code,fund_url,type,publish_date,setup_date_and_scale,asset_scale,amount_scale,company,company_url,bank,bank_url,manager,manager_url,profit_situation,management_feerate,trustee_feerate,standard_compared,followed_target
广发中证100交易型开放式指数证券投资基金发起式联接基金,	007136,http://fundf10.eastmoney.com/jbgk_007136.html,联接基金,2019年04月08日,2019年05月27日 / 0.797亿份,0.92亿元（截止至：2020年03月31日）,0.9552亿份,广发基金,http://fund.eastmoney.com/company/80000248.html,工商银行,http://fund.eastmoney.com/bank/80001067.html,罗国庆,http://fund.eastmoney.com/manager/30379614.html,每份累计0.00元（0次）,0.50%（每年）,0.10%（每年）,中证100指数收益率×95%+银行活期存款利率(税后)×5%,中证100指数
方正富邦中证500交易型开放式指数证券投资基金联接基金,	006657,http://fundf10.eastmoney.com/jbgk_006657.html,联接基金,2019年03月04日,2019年03月26日 / 2.216亿份,0.15亿元（截止至：2020年03月31日）,0.1536亿份,方正富邦基金,http://fund.eastmoney.com/company/80174741.html,建设银行,http://fund.eastmoney.com/bank/80001068.html,吴昊,http://fund.eastmoney.com/manager/30582558.html,每份累计0.00元（0次）,0.50%（每年）,0.10%（每年）,中证500指数收益率×95%+银行人民币活期存款利率(税后)×5%,中证500指数
建信MSCI中国A股国际通交易型开放式指数证券投资基金发起式联接基金,	005830,http://fundf10.eastmoney.com/jbgk_005830.html,联接基金,2018年04月16日,2018年05月16日 / 0.991亿份,0.19亿元（截止至：2020年03月31日）,0.1695亿份,建信基金,http://fund.eastmoney.com/company/80065990.html,中金公司,http://fund.eastmoney.com/bank/80016241.html,梁洪昀,http://fund.eastmoney.com/manager/30053299.html,每份累计0.00元（0次）,0.50%（每年）,0.10%（每年）,MSCI中国A股国际通指数收益率×95%+银行活期存款税后利率×5%,该基金无跟踪标的
工银瑞信美丽城镇主题股票型证券投资基金,	001043,http://fundf10.eastmoney.com/jbgk_001043.html,股票型,2015年03月09日,2015年03月26日 / 23.803亿份,5.46亿元（截止至：2020年03月31日）,3.9999亿份,工银瑞信基金,http://fund.eastmoney.com/company/80064225.html,建设银行,http://fund.eastmoney.com/bank/80001068.html,王君正,http://fund.eastmoney.com/manager/30200831.html,每份累计0.00元（0次）,1.50%（每年）,0.25%（每年）,80%×沪深300指数收益率+20%×中债综合指数收益率,该基金无跟踪标的
天弘创业板交易型开放式指数证券投资基金联接基金,	001593,http://fundf10.eastmoney.com/jbgk_001593.html,联接基金,2015年07月06日,2015年07月08日 / 0.100亿份,21.44亿元（截止至：2020年03月31日）,29.1090亿份,天弘基金,http://fund.eastmoney.com/company/80041198.html,国泰君安,http://fund.eastmoney.com/bank/80000123.html,张子法,http://fund.eastmoney.com/manager/30527985.html,每份累计0.00元（0次）,0.50%（每年）,0.10%（每年）,创业板指数收益率×95%+银行活期存款利率(税后)×5%,创业板指数(价格)
鹏华中证500交易型开放式指数证券投资基金联接基金,	008001,http://fundf10.eastmoney.com/jbgk_008001.html,联接基金,2020年01月02日,2020年01月15日 / 3.053亿份,0.37亿元（截止至：2020年03月31日）,0.4003亿份,鹏华基金,http://fund.eastmoney.com/company/80000230.html,工商银行,http://fund.eastmoney.com/bank/80001067.html,陈龙,http://fund.eastmoney.com/manager/30366278.html,每份累计0.00元（0次）,0.15%（每年）,0.05%（每年）,中证500指数收益率*95%+活期存款利率(税后)*5%,中证500指数
华安MSCI中国A股国际交易型开放式指数证券投资基金联接基金,	005747,http://fundf10.eastmoney.com/jbgk_005747.html,联接基金,2018年08月22日,2018年10月24日 / 2.655亿份,0.06亿元（截止至：2020年03月31日）,0.0510亿份,华安基金,http://fund.eastmoney.com/company/80000228.html,农业银行,http://fund.eastmoney.com/bank/80001120.html,苏卿云,http://fund.eastmoney.com/manager/30512488.html,每份累计0.00元（0次）,0.50%（每年）,0.10%（每年）,95%×MSCI中国A股国际指数收益率(经汇率调整)+5%×商业银行税后活期存款利率,MSCI中国A股国际指数
博道沪深300指数增强型证券投资基金,	007044,http://fundf10.eastmoney.com/jbgk_007044.html,股票指数,2019年04月08日,2019年04月26日 / 5.502亿份,1.05亿元（截止至：2020年03月31日）,0.9766亿份,博道基金,http://fund.eastmoney.com/company/80560392.html,招商银行,http://fund.eastmoney.com/bank/10000020.html,杨梦,http://fund.eastmoney.com/manager/30417748.html,每份累计0.00元（0次）,0.75%（每年）,0.10%（每年）,沪深300指数收益率×95%+同期银行活期存款利率(税后)×5%,沪深300指数
景顺长城量化新动力股票型证券投资基金,	001974,http://fundf10.eastmoney.com/jbgk_001974.html,股票型,2016年05月23日,2016年07月13日 / 2.193亿份,4.22亿元（截止至：2020年03月31日）,2.8250亿份,景顺长城基金,http://fund.eastmoney.com/company/80000251.html,工商银行,http://fund.eastmoney.com/bank/80001067.html,黎海威,http://fund.eastmoney.com/manager/30201219.html,每份累计0.00元（0次）,1.50%（每年）,0.25%（每年）,MSCI中国A股国际指数(MSCI China A International Index)收益率*95%+商业银行活期存款利率(税后)*5%,该基金无跟踪标的
长信沪深300指数增强型证券投资基金,	007448,http://fundf10.eastmoney.com/jbgk_007448.html,股票指数,,2019年05月16日 / --,0.94亿元（截止至：2020年03月31日）,0.8888亿份,长信基金,http://fund.eastmoney.com/company/80000243.html,招商银行,http://fund.eastmoney.com/bank/10000020.html,宋海岸,http://fund.eastmoney.com/manager/30570050.html,每份累计0.00元（0次）,1.00%（每年）,0.15%（每年）,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,沪深300指数
长城中证500指数增强型证券投资基金,	006048,http://fundf10.eastmoney.com/jbgk_006048.html,股票指数,,2018年08月13日 / --,0.44亿元（截止至：2020年03月31日）,0.4318亿份,长城基金,http://fund.eastmoney.com/company/80000239.html,建设银行,http://fund.eastmoney.com/bank/80001068.html,雷俊,http://fund.eastmoney.com/manager/30309957.html,每份累计0.00元（0次）,1.00%（每年）,0.15%（每年）,中证500指数收益率×95%+银行活期存款利率(税后)×5%,中证500指数
鑫元核心资产股票型发起式证券投资基金,	006194,http://fundf10.eastmoney.com/jbgk_006194.html,股票型,2018年09月28日,2018年11月14日 / 0.150亿份,0.01亿元（截止至：2020年03月31日）,0.0134亿份,鑫元基金,http://fund.eastmoney.com/company/80351991.html,工商银行,http://fund.eastmoney.com/bank/80001067.html,丁玥,http://fund.eastmoney.com/manager/30477712.html,每份累计0.00元（0次）,1.50%（每年）,0.25%（每年）,沪深300指数收益率×80%+上证国债指数收益率×20%,该基金无跟踪标的
新疆前海联合沪深300指数型证券投资基金,	007039,http://fundf10.eastmoney.com/jbgk_007039.html,股票指数,,2019年02月26日 / --,0.09亿元（截止至：2020年03月31日）,0.0752亿份,前海联合,http://fund.eastmoney.com/company/80468996.html,工商银行,http://fund.eastmoney.com/bank/80001067.html,林材,http://fund.eastmoney.com/manager/30184620.html,每份累计0.00元（0次）,0.65%（每年）,0.15%（每年）,沪深300指数收益率×95%+银行活期存款利率(税后)×5%,沪深300指数
嘉实智能汽车股票型证券投资基金,	002168,http://fundf10.eastmoney.com/jbgk_002168.html,股票型,2015年12月24日,2016年02月04日 / 2.290亿份,17.69亿元（截止至：2020年03月31日）,9.4814亿份,嘉实基金,http://fund.eastmoney.com/company/80000223.html,工商银行,http://fund.eastmoney.com/bank/80001067.html,姚志鹏,http://fund.eastmoney.com/manager/30447865.html,每份累计0.00元（0次）,1.50%（每年）,0.25%（每年）,中信汽车行业指数收益率*80%+中债总指数收益率*20%,该基金无跟踪标的
汇丰晋信大盘波动精选股票型证券投资基金,	002334,http://fundf10.eastmoney.com/jbgk_002334.html,股票型,2016年02月01日,2016年03月11日 / 2.911亿份,0.36亿元（截止至：2020年03月31日）,0.2879亿份,汇丰晋信基金,http://fund.eastmoney.com/company/80067635.html,建设银行,http://fund.eastmoney.com/bank/80001068.html,方磊,http://fund.eastmoney.com/manager/30165669.html,每份累计0.00元（0次）,1.50%（每年）,0.25%（每年）,沪深300指数*90%+同业存款利率(税后)*10%,该基金无跟踪标的
建信裕利灵活配置混合型证券投资基金,	002281,http://fundf10.eastmoney.com/jbgk_002281.html,混合型,2015年12月23日,2016年01月04日 / 49.784亿份,1.17亿元（截止至：2020年03月31日）,1.0056亿份,建信基金,http://fund.eastmoney.com/company/80065990.html,交通银行,http://fund.eastmoney.com/bank/80001121.html,邵卓,http://fund.eastmoney.com/manager/30062853.html,每份累计0.00元（0次）,1.50%（每年）,0.25%（每年）,沪深300指数收益率*65%+中债总财富(总值)指数收益率*35%,该基金无跟踪标的
中泰开阳价值优选灵活配置混合型证券投资基金,	007549,http://fundf10.eastmoney.com/jbgk_007549.html,混合型,2019年09月02日,2019年09月06日 / 2.967亿份,1.02亿元（截止至：2020年03月31日）,0.9572亿份,中泰证券(上海)资管,http://fund.eastmoney.com/company/80381452.html,建设银行,http://fund.eastmoney.com/bank/80001068.html,姜诚,http://fund.eastmoney.com/manager/30167070.html,每份累计0.00元（0次）,1.50%（每年）,0.25%（每年）,中证800指数收益率*60%+中债综合指数收益率*40%,该基金无跟踪标的
