fund_type,code,name,today,net_value,accumulative_value,rate_day,rate_recent_week,rate_recent_month,rate_recent_3month,rate_recent_6month,rate_recent_year,rate_recent_2year,rate_recent_3year,rate_from_this_year,rate_from_begin,rate_buy,url
hh,	001217,易方达新收益混合C,2020-04-24,2.0360,2.0360,-0.7314,0.4440,6.9328,-0.4888,11.9296,23.0955,61.7156,79.5414,1.5968,103.60,0.00%,http://fund.eastmoney.com/	001217.html
hh,	007293,长信利信混合C,2020-04-24,1.1320,1.1320,0.0884,0.4437,1.8902,2.6292,6.7924,,,,3.0966,9.6899,0.00%,http://fund.eastmoney.com/	007293.html
hh,	006429,诺安恒鑫混合,2020-04-24,1.0199,1.0199,-0.6236,0.4432,4.6266,-3.4368,3.1765,,,,-3.5464,1.99,0.15%,http://fund.eastmoney.com/	006429.html
hh,	004914,中银证券聚瑞混合C,2020-04-24,1.1338,1.1338,-0.3778,0.4429,1.3045,3.4772,12.5919,11.7815,13.5731,,4.5170,13.38,0.00%,http://fund.eastmoney.com/	004914.html
hh,	000557,国投瑞银新机遇灵活配置混合C,2020-04-24,1.8280,2.0640,-1.6676,0.4396,5.1784,5.9710,32.0601,24.3072,46.5930,57.7571,10.8550,118.8070,0.00%,http://fund.eastmoney.com/	000557.html
hh,	519949,长信利信混合A,2020-04-24,1.1440,1.2040,0.0875,0.4390,1.8701,2.6930,6.9159,10.8527,13.3796,20.4007,3.0631,21.2435,0.15%,http://fund.eastmoney.com/	519949.html
hh,	003751,万家瑞隆混合,2020-04-24,1.2830,1.2830,-1.7611,0.4384,11.4102,20.6054,16.9447,13.3492,16.1612,26.4039,14.7585,28.30,0.15%,http://fund.eastmoney.com/	003751.html
hh,	000573,天弘通利混合,2020-04-24,1.3760,1.4450,-0.0726,0.4379,2.3048,2.3809,4.7184,10.8783,13.4377,19.3408,2.9170,47.1039,0.10%,http://fund.eastmoney.com/	000573.html
hh,	000328,上投摩根转型动力灵活配置混合,2020-04-24,1.8380,1.8380,-1.0764,0.4372,9.7969,1.4909,22.8610,31.8508,18.8875,26.5840,9.2747,83.80,0.15%,http://fund.eastmoney.com/	000328.html
hh,	000753,华宝量化对冲混合A,2020-04-24,1.1724,1.3524,-0.1108,0.4369,0.8517,2.7340,5.1103,10.8129,11.4025,14.3805,3.8441,38.1799,0.08%,http://fund.eastmoney.com/	000753.html
