marketType,datetime,total_net_in,total_in,total_out,today_in,grand_total_in,today_balance,stock_code,stock,stock_up,sz_index,sz_index_percent
1.0,2020-04-24,15.62,130.74,115.12,22.88,5374.35,497.12,	603369,今世缘,10.01,2808.53,-1.06
1.0,2020-04-23,16.2,139.47,123.27,23.94,5358.73,496.06,	601789,宁波建工,10.07,2838.5,-0.19
1.0,2020-04-22,6.93,131.82,124.89,16.46,5342.53,503.54,	601216,内蒙君正,10.16,2843.98,0.6
1.0,2020-04-21,-12.46,116.83,129.29,-4.28,5335.59,524.28,	601789,宁波建工,10.02,2827.01,-0.9
1.0,2020-04-20,-7.67,129.01,136.68,0.62,5348.05,519.38,	601698,中国卫通,10.0,2852.55,0.5
1.0,2020-04-17,49.37,188.05,138.69,57.5,5355.72,462.5,	601012,隆基股份,10.0,2838.49,0.66
1.0,2020-04-16,19.5,137.28,117.77,28.4,5306.35,491.6,	600312,平高电气,10.02,2819.94,0.31
1.0,2020-04-15,8.9,130.38,121.48,17.15,5286.85,502.85,	603387,基蛋生物,10.01,2811.17,-0.57
1.0,2020-04-14,47.22,206.63,159.41,58.45,5277.95,461.55,	600845,宝信软件,10.0,2827.28,1.59
1.0,2020-04-08,-18.58,120.09,138.67,-10.03,5230.73,530.03,	600260,凯乐科技,9.98,2815.37,-0.19
1.0,2020-04-07,62.14,199.44,137.3,71.69,5249.31,448.31,	603533,掌阅科技,10.02,2820.76,2.05
1.0,2020-04-03,5.23,118.35,113.12,11.44,5187.17,508.56,	603713,密尔克卫,9.99,2763.99,-0.6
1.0,2020-04-02,21.6,142.18,120.58,29.69,5181.94,490.31,	600688,上海石化,10.08,2780.64,1.69
1.0,2020-04-01,4.13,129.46,125.33,9.84,5160.34,510.17,	603997,继峰股份,9.99,2734.52,-0.57
1.0,2020-03-31,4.19,144.53,140.34,11.12,5156.22,508.88,	603997,继峰股份,10.05,2750.3,0.11
1.0,2020-03-30,-1.23,151.37,152.6,6.19,5152.03,513.81,	600366,宁波韵升,10.05,2747.21,-0.9
1.0,2020-03-27,22.72,154.41,131.69,28.95,5153.25,491.05,	603157,拉夏贝尔,10.05,2772.2,0.26
1.0,2020-03-26,-5.69,128.53,134.22,0.12,5130.54,519.88,	600196,复星医药,10.0,2764.91,-0.6
1.0,2020-03-25,12.45,173.2,160.75,17.98,5136.23,502.02,	600741,华域汽车,10.02,2781.59,2.17
1.0,2020-03-24,30.63,175.5,144.87,36.05,5123.78,483.95,	600297,广汇汽车,10.03,2722.44,2.34
1.0,2019-12-16,-3.73,108.31,112.04,3.17,5157.95,516.83,	600580,卧龙电气,10.03,2984.39,0.56
1.0,2019-12-13,34.57,180.84,146.27,55.09,5161.68,464.91,	601990,南京证券,10.07,2967.68,1.78
1.0,2019-12-12,40.6,107.7,67.09,45.69,5127.11,474.31,	600216,浙江医药,10.02,2915.7,-0.3
1.0,2019-12-11,13.54,86.75,73.21,18.58,5086.51,501.42,	600136,当代明诚,10.05,2924.42,0.24
1.0,2019-12-10,18.9,83.54,64.64,24.4,5072.97,495.6,	600105,永鼎股份,10.11,2917.32,0.1
1.0,2019-12-09,25.68,102.0,76.33,31.15,5054.07,488.85,	600507,方大特钢,8.52,2914.48,0.08
1.0,2019-12-06,20.87,91.74,70.87,26.34,5028.39,493.66,	601872,招商轮船,10.05,2912.01,0.43
1.0,2019-12-05,19.31,90.75,71.44,25.67,5007.52,494.33,	600641,万业企业,10.01,2899.47,0.74
1.0,2019-12-04,4.23,84.71,80.48,9.7,4988.2,510.3,	600547,山东黄金,7.8,2878.12,-0.23
1.0,2019-12-03,13.34,83.1,69.76,17.48,4983.97,502.52,	600277,亿利能源,10.05,2884.7,0.31
1.0,2019-12-02,17.6,85.45,67.85,21.27,4970.63,498.73,	600733,北汽蓝谷,9.98,2875.81,0.13
1.0,2019-11-29,-2.97,89.29,92.26,2.21,4953.03,517.79,	603025,大豪科技,10.06,2871.98,-0.61
1.0,2019-11-28,7.6,79.27,71.67,17.52,4955.99,502.48,	603421,鼎信通讯,10.03,2889.69,-0.47
1.0,2019-11-27,5.81,92.46,86.65,12.59,4948.39,507.41,	601689,拓普集团,9.8,2903.19,-0.13
