code,name,datetime,price_start,price_end,price_max,price_min,amount,value,swing
399006,创业板指,2010-06-01,986.02,973.23,994.79,948.12,1356285,4924176896.00,3.63
399006,创业板指,2010-06-02,967.61,997.12,997.12,952.61,1074627,4001206272.00,4.57
399006,创业板指,2010-06-03,1002.35,998.39,1026.70,997.78,1616805,6240835584.00,2.90
399006,创业板指,2010-06-04,989.68,1027.68,1027.68,986.50,1500295,5269440512.00,4.12
399006,创业板指,2010-06-07,1005.03,1069.47,1075.22,1001.70,2655275,9106095104.00,7.15
399006,创业板指,2010-06-08,1067.32,1067.15,1075.50,1050.96,1976720,6621994496.00,2.29
399006,创业板指,2010-06-09,1070.85,1077.82,1102.10,1069.43,2541568,8994866176.00,3.06
399006,创业板指,2010-06-10,1077.68,1117.48,1119.11,1076.28,2197404,8242731008.00,3.97
399006,创业板指,2010-06-11,1122.44,1122.20,1128.23,1118.71,2224874,8449039360.00,0.85
399006,创业板指,2010-06-17,1126.13,1064.84,1129.69,1064.84,1764283,6757409280.00,5.78
399006,创业板指,2010-06-18,1052.07,1000.28,1053.14,993.17,1630650,5827721216.00,5.63
399006,创业板指,2010-06-21,991.96,1040.80,1043.16,976.41,1574797,5604269568.00,6.67
399006,创业板指,2010-06-22,1037.04,1034.99,1057.36,1033.65,1427162,5067480064.00,2.28
399006,创业板指,2010-06-23,1026.86,1047.34,1056.35,1023.74,1257359,4608672256.00,3.15
399006,创业板指,2010-06-24,1046.76,1050.60,1059.75,1041.54,1069132,3904947968.00,1.74
399006,创业板指,2010-06-25,1046.21,1016.28,1046.21,999.16,1237298,4515664384.00,4.48
399006,创业板指,2010-06-28,1009.22,987.83,1014.41,984.22,920673,3463552256.00,2.97
399006,创业板指,2010-06-29,985.57,913.31,992.23,912.54,1497799,5293896704.00,8.07
399006,创业板指,2010-06-30,898.29,919.31,921.81,881.36,1223661,3852158464.00,4.43
399006,创业板指,2010-07-01,914.40,882.19,921.21,882.19,1049572,3663773696.00,4.24
399006,创业板指,2010-07-02,878.95,873.12,885.34,832.62,1288833,4212661760.00,5.98
399006,创业板指,2010-07-05,857.37,862.27,870.86,842.73,915864,2851736064.00,3.22
399006,创业板指,2010-07-06,859.26,893.72,898.45,857.80,1165231,3751055616.00,4.71
399006,创业板指,2010-07-07,896.53,908.55,908.55,890.34,1046162,3342473728.00,2.04
399006,创业板指,2010-07-08,912.00,905.51,914.30,887.03,1098087,3780698880.00,3.00
399006,创业板指,2010-07-09,903.50,932.15,936.53,896.89,1451460,4743256576.00,4.38
399006,创业板指,2010-07-12,931.53,930.17,941.07,924.06,1263617,4188147200.00,1.82
399006,创业板指,2010-07-13,924.95,931.08,936.64,906.30,1468657,4744135680.00,3.26
399006,创业板指,2010-07-14,929.75,922.36,937.93,916.07,1423586,4648080384.00,2.35
399006,创业板指,2010-07-15,920.05,892.56,930.55,892.56,1175880,3960490752.00,4.12
399006,创业板指,2010-07-16,885.07,892.30,895.06,869.02,1009312,3264221696.00,2.92
399006,创业板指,2010-07-19,881.66,908.05,910.18,878.07,938802,2992584192.00,3.60
399006,创业板指,2010-07-20,909.54,937.02,937.54,909.54,1365808,4559580672.00,3.08
399006,创业板指,2010-07-21,940.10,941.25,959.04,938.16,1665745,5960653824.00,2.23
399006,创业板指,2010-07-22,938.22,950.21,950.21,932.02,1326602,4356669440.00,1.93
399006,创业板指,2010-07-23,951.84,960.59,964.74,948.13,1721251,5339086336.00,1.75
399006,创业板指,2010-07-26,962.76,966.15,966.73,954.76,1476035,4626044928.00,1.25
399006,创业板指,2010-07-27,963.54,957.97,968.04,955.73,1361821,4574086656.00,1.27
399006,创业板指,2010-07-28,955.19,972.53,972.53,954.52,1566182,5187227648.00,1.88
399006,创业板指,2010-07-29,974.29,975.36,982.02,965.61,1794193,5897853440.00,1.69
399006,创业板指,2010-07-30,971.66,968.43,971.66,955.92,1458486,5049473024.00,1.61
399006,创业板指,2010-08-02,968.45,994.23,994.23,968.45,1810364,6104407552.00,2.66
399006,创业板指,2010-08-03,995.20,975.65,996.26,975.65,1757058,5951414784.00,2.07
399006,创业板指,2010-08-04,971.41,978.01,978.01,955.93,1446165,4758297088.00,2.26
399006,创业板指,2010-08-05,980.27,987.35,998.10,978.33,1770399,6033987072.00,2.02
399006,创业板指,2010-08-06,987.97,1011.39,1011.39,985.63,1899061,6225316864.00,2.61
399006,创业板指,2010-08-09,1013.24,1032.34,1032.34,1013.24,2091995,6918898688.00,1.89
399006,创业板指,2010-08-10,1031.98,993.99,1034.33,993.99,2177071,7106822656.00,3.91
399006,创业板指,2010-08-11,991.28,1004.64,1006.45,990.94,1615078,5180189696.00,1.56
399006,创业板指,2010-08-12,994.05,991.78,1007.58,987.98,1689189,5316055552.00,1.95
399006,创业板指,2010-08-13,992.63,1007.21,1007.52,986.62,1471798,4831450112.00,2.11
399006,创业板指,2010-08-16,1007.50,1030.22,1031.05,1005.05,1880400,6199923200.00,2.58
399006,创业板指,2010-08-17,1031.07,1033.58,1036.82,1023.08,1800777,6092952064.00,1.33
399006,创业板指,2010-08-18,1033.71,1026.72,1035.61,1018.50,1643501,5721278464.00,1.66
399006,创业板指,2010-08-19,1026.98,1025.53,1033.25,1021.70,1624534,5547406848.00,1.12
399006,创业板指,2010-08-20,1021.46,995.94,1022.45,993.56,1870224,6597771776.00,2.82
399006,创业板指,2010-08-23,994.94,995.61,1001.18,991.52,1456014,5064150016.00,0.97
399006,创业板指,2010-08-24,993.58,1004.98,1007.76,987.22,1365051,4942148608.00,2.06
399006,创业板指,2010-08-25,1000.27,976.88,1002.33,976.55,1501342,5247657984.00,2.57
399006,创业板指,2010-08-26,978.60,980.63,984.87,973.00,1288066,4668328960.00,1.22
399006,创业板指,2010-08-27,978.51,999.46,1000.86,975.72,1216242,4490466304.00,2.56
399006,创业板指,2010-08-30,1002.99,1024.93,1025.15,1002.99,1645412,5997851136.00,2.22
399006,创业板指,2010-08-31,1020.75,1025.57,1029.80,1015.13,1534699,5742617600.00,1.43
399006,创业板指,2010-09-01,1025.68,995.59,1029.81,987.59,1864362,6805223424.00,4.12
399006,创业板指,2010-09-02,1001.60,1014.92,1018.28,996.52,1630857,5905102336.00,2.19
399006,创业板指,2010-09-03,1017.64,1036.70,1045.21,1017.51,2289365,8448724480.00,2.73
399006,创业板指,2010-09-06,1039.46,1010.76,1043.24,1007.43,1813080,6466212352.00,3.45
399006,创业板指,2010-09-07,1010.11,1022.62,1022.62,1007.64,1284514,4586031104.00,1.48
399006,创业板指,2010-09-08,1020.23,1026.33,1027.64,1016.84,1403818,4795945984.00,1.06
399006,创业板指,2010-09-09,1029.11,1021.83,1040.67,1019.69,1959802,6404983296.00,2.04
399006,创业板指,2010-09-10,1021.87,1034.94,1037.51,1016.19,1812290,5743872512.00,2.09
399006,创业板指,2010-09-13,1034.39,1042.48,1045.39,1033.25,1667889,5527660544.00,1.17
399006,创业板指,2010-09-14,1044.30,1031.22,1046.13,1028.77,1590231,5554204672.00,1.67
399006,创业板指,2010-09-15,1029.52,990.10,1030.02,987.05,1818273,6238212608.00,4.17
399006,创业板指,2010-09-16,989.49,972.60,994.95,964.53,1442058,4843029504.00,3.07
399006,创业板指,2010-09-17,976.07,972.23,981.73,967.55,967840,3271601152.00,1.46
399006,创业板指,2010-09-20,972.45,949.20,975.26,947.41,923658,3136271360.00,2.86
399006,创业板指,2010-09-21,952.07,934.46,953.83,930.25,835858,2664430080.00,2.48
399006,创业板指,2010-09-27,936.21,950.67,951.84,930.86,892936,2896534016.00,2.25
399006,创业板指,2010-09-28,949.63,942.05,949.89,939.63,939433,2943710208.00,1.08
399006,创业板指,2010-09-29,941.27,926.76,944.17,924.41,831735,2805263872.00,2.10
399006,创业板指,2010-09-30,923.83,942.54,942.54,921.36,699737,2252413184.00,2.29
399006,创业板指,2010-10-08,946.47,959.86,963.18,945.62,1083960,3415850240.00,1.86
399006,创业板指,2010-10-11,960.91,947.11,961.17,941.91,1446870,4702486528.00,2.01
399006,创业板指,2010-10-12,946.63,951.79,959.98,945.01,1240192,3915278848.00,1.58
399006,创业板指,2010-10-13,951.33,962.74,962.74,940.65,1330516,4123690496.00,2.32
399006,创业板指,2010-10-14,963.29,958.49,975.91,956.86,1396405,4577347072.00,1.98
399006,创业板指,2010-10-15,954.12,944.25,957.77,937.12,1352498,4343111168.00,2.15
399006,创业板指,2010-10-18,941.87,932.36,941.87,913.82,1327875,4243012608.00,2.97
399006,创业板指,2010-10-19,932.83,995.92,1005.59,932.32,2339086,7752442880.00,7.86
399006,创业板指,2010-10-20,986.65,1004.54,1024.58,986.03,2638132,8597749760.00,3.87
399006,创业板指,2010-10-21,1001.68,991.84,1001.68,983.66,1569122,4853646848.00,1.79
399006,创业板指,2010-10-22,991.14,1013.45,1023.70,991.14,1765748,5596426240.00,3.28
399006,创业板指,2010-10-25,1018.08,1039.05,1043.09,1018.08,2063689,6717409792.00,2.47
399006,创业板指,2010-10-26,1041.53,1036.01,1041.91,1020.94,1838413,5899693568.00,2.02
399006,创业板指,2010-10-27,1034.86,1030.59,1048.56,1028.70,1701689,5627187712.00,1.92
399006,创业板指,2010-10-28,1024.70,1038.62,1038.62,1023.49,1592477,5363520512.00,1.47
